,Unnamed: 0,first_name1,middle_name1,last_name1,first_name2,middle_name2,last_name2,first_name_status,middle_name_status,last_name_status,matched
0,0,chih-ping,,tso,chih-ping,,tso,1,0,1,1
1,1,terry,,winograd,terry,,winograd,1,0,1,1
2,2,walter,,suchon,walter,,suchon,1,0,1,1
3,3,chryssostomos,,chryssostomidis,chryssostomos,,chryssostomidis,1,0,1,1
4,4,edmund,francis,kelly,edmund,aloysius,kelly,1,0,1,1
5,5,peter,joseph,palmer,peter,joseph,palmer,1,1,1,1
6,6,satyaki,,basu,satyaki,,basu,1,0,1,1
7,7,enrique,l.,kilayko,enrique,,kilayko,1,0,1,1
8,8,alfred,i.,raff,alfred,israel,raff,1,0,1,1
9,9,,,,anton,keats,simson,0,0,0,1
10,10,johannes,philipp,holschneider,johannes,philipp,holschneider,1,1,1,1
11,11,moss,eisenberg,sweedler,moss,eisenberg,sweedler,1,1,1,1
12,12,,,,aly,mahmoud,el-shiekh,0,0,0,0
13,13,,,,calvin,fred,opitz,0,0,0,0
14,14,ary,m.,pedju,ary,mochtar,pedju,1,0,1,1
15,15,james,robert,bonar,james,robert,bonar,1,1,1,1
16,16,gerald,,gruber,gerald,,gruber,1,0,1,1
17,17,,,,robert,hamilton,cannon,0,0,0,0
18,18,gerhardt,c.,clementson,gerhardt,christopher,clementson,1,0,1,1
19,19,george,,nez,george,,nez,1,0,1,1
20,20,charles,winfred,washburn,charles,winfred,washburn,1,1,1,1
21,21,,,,douglas,s,powell,0,0,0,0
22,22,frederick,h.,reuter,frederick,h,reuter,1,0,1,1
23,23,,,,alan,,stenning,0,0,0,0
24,24,paul,r.,paslay,paul,r,paslay,1,0,1,1
25,25,watt,wetmore,webb,1927-,,webb,0,0,1,0
26,26,thomas,a.,reiner,1931-,,reiner,0,0,1,0
27,27,,,,vivaldis,,paukulis,0,0,0,0
28,28,richard,m.,horowitz,richard,m,horowitz,1,0,1,1
29,29,harold,winfield,wyckoff,harold,w,wyckoff,1,0,1,1
30,30,,,,norman,keith,scott,0,0,0,0
31,31,george,barwick,wilmot,george,barwick,wilmot,1,1,1,1
32,32,,,,richard,h,lyon,0,0,0,0
33,33,,,,robert,edward,coughlin,0,0,0,0
34,34,robert,lee,jeffcoat,robert,lee,jeffcoat,1,1,1,1
35,35,eric,hershler,bott,eric,herschler,bott,1,0,1,1
36,36,alberto,,azuma,alberto,,azuma,1,0,1,1
37,37,octavio,maizza,neto,octavio,,maizza neto,1,0,0,0
38,38,leon,gardner,shiman,leon,gardner,shiman,1,1,1,1
39,39,steven,c.,hayes,steven,coburn,hayes,1,0,1,1
40,40,william,harold,soupcoff,william,harold,soupcoff,1,1,1,1
41,41,david,,cylkowskt,david,,cylkowski,1,0,0,0
42,42,vivian,ellen,loftness,vivian,ellen,loftness,1,1,1,1
43,43,sanford,j.,neuhaus,sanford,j,neuhaus,1,0,1,1
44,44,hsin-min,,chen,xinmin,,chen,0,0,1,0
45,45,,,,1918-,,gangnes,0,0,0,0
46,46,archie,allan,stone,archie,allan,stone,1,1,1,1
47,47,richard,y.,newton,richard,y,newton,1,0,1,1
48,48,stephen,harry,crandall,stephen,h,crandall,1,0,1,1
49,49,viggo,e.,maack,viggo,e,maack,1,0,1,1
50,50,james,a.,holmes,james,,holmes,1,0,1,1
51,51,kenneth,l.,kienas,kenneth,lee,kienas,1,0,1,1
52,52,margaret,mary,sheridan,margaret,mary,sheridan,1,1,1,1
53,53,richard,j.fenchak,,richard,john,fenchak,1,0,0,0
54,54,john,william,hellgeth,john,william,hellgeth,1,1,1,1
55,55,walid,khaled,eid,walid,khaled,eid,1,1,1,1
56,56,mutasim,fuad,baba,mutasim,fuad,baba,1,1,1,1
57,57,thomas,a.,dingus,thomas,,dingus,1,0,1,1
58,58,mickey,e.,gunter,mickey,,gunter,1,0,1,1
59,59,henry,,van tuyl cotter,henry,van tuyl,cotter,1,0,0,0
60,60,melissa,clare,connaway,melissa,clare,connaway,1,1,1,1
61,61,claire,elaine,crutchley,claire,elaine,crutchley,1,1,1,1
62,62,sterling,i.,marshall,sterling,,marshall,1,0,1,1
63,63,mohammad,ali,saed,mohammad,ali,saed,1,1,1,1
64,64,bruce,s.,tang,bruce,shiu-leung,tang,1,0,1,1
65,65,james,r.,mckenna,james,richard,mckenna,1,0,1,1
66,66,joanna,m.,grymes,joanna,,grymes,1,0,1,1
67,67,,,,,,randall,0,0,0,0
68,68,doron,,shalev,doron,,shalev,1,0,1,1
69,69,robert,nicholas,antenucci,robert,nicholas,antenucci,1,1,1,1
70,70,lena,,hall,lena,,hall,1,0,1,1
71,71,brian,victor,bredenkamp,brian,victor,bredenkamp,1,1,1,1
72,72,ronald,e.,hawkins,ronald,eugene,hawkins,1,0,1,1
73,73,lin-,ying,lai,lin-ying,,lai,0,0,1,0
74,74,william,p.,yurochko,william,,yurochko,1,0,1,1
75,75,helene,,aiello,helene,sarah,aiello,1,0,1,1
76,76,beryle,crockett,santon,beryle,crockett,santon,1,1,1,1
77,77,,,,,,clemons,0,0,0,0
78,78,ann,marie,hellstern,ann,marie,hellstern,1,1,1,1
79,79,cynthia,a.,arnold,cynthia,ann,arnold,1,0,1,1
80,80,libra,jan cleveland,gysel,libra,cleveland,gysel,1,0,1,1
81,81,juan,p.,arhancet,juan,pedro,arhancet,1,0,1,1
82,82,ha,chul,kim,ha,chul,kim,1,1,1,1
83,83,jorge,luis yordan,hernandez,jorge,luis,yordan hernandez,1,0,0,0
84,84,john,alan,chermak,john,alan,chermak,1,1,1,1
85,85,robert,thomas,arenburg,robert,thomas,arenburg,1,1,1,1
86,86,christine,mae,gruhn,christine,mae,gruhn,1,1,1,1
87,87,gbemiga,a.,ayangbile,gbemiga,adekunmi,ayangbile,1,0,1,1
88,88,david,h.,cohen,david,henry,cohen,1,0,1,1
89,89,linda,e.,morris,linda,ellen,morris,1,0,1,1
90,90,anthony,j.,oliveira,anthony,joseph,oliveira,1,0,1,1
91,91,lillie,mae,anderton,lillie,mae,anderton,1,1,1,1
92,92,k.d.,,bennett,kimberly,dean,bennett,0,0,1,0
93,93,susan,,semanic-lauth,susan,ann,semanic-lauth,1,0,1,1
94,94,chian-yeun,,chang,chian-yeun,,chang,1,0,1,1
95,95,allen,lee,sehn,allen,lee,sehn,1,1,1,1
96,96,zhiqiang,,wang,zhiqiang,,wang,1,0,1,1
97,97,william,john,chism,william,john,chism,1,1,1,1
98,98,thomas,f.,barton,thomas,,barton,1,0,1,1
99,99,joseph,m.,desimone,joseph,mark,desimone,1,0,1,1
